Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS
Gieseking,97,10.1797,96.4206,194.0,0.3937,35.9333
Gieseking,98,-81.1526,-122.6623,196.0,0.4252,36.3
Gieseking,99,38.6815,76.3404,198.0,0.4252,36.5167
Gieseking,100,-95.4196,119.7233,200.0,0.4252,36.5833
Gieseking,101,56.8098,46.0135,202.0,0.4252,37.1
Gieseking,102,-176.4536,-53.9247,204.0,0.4409,37.4167
Gieseking,103,57.6455,63.0634,206.0,0.4724,37.7333
Gieseking,104,44.4693,72.8418,208.0,0.4252,38.45
Gieseking,105,35.9868,85.1591,210.0,0.4252,39.1667
Gieseking,106,22.1166,92.076,212.0,0.3858,39.8833
Gieseking,107,-161.1117,66.5733,214.0,0.3622,40.8
Gieseking,108,-2.2002,107.159,216.0,0.3622,41.3167
Gieseking,109,-109.1301,-105.3829,218.0,0.3228,41.6333
Gieseking,110,32.3757,-76.2768,220.0,0.3386,42.5
Gieseking,111,64.7082,28.7507,222.0,0.3858,43.3167
Gieseking,112,-41.5949,126.7395,224.0,0.3858,43.3833
Gieseking,113,-8.9922,111.9883,226.0,0.3465,44.05
Gieseking,114,-56.2096,138.3153,228.0,0.4488,44.0167
Gieseking,115,-56.2827,-119.8368,230.0,0.3228,44.3333
Gieseking,116,-71.0607,123.3677,232.0,0.3465,44.65
Gieseking,117,-90.1102,-116.8601,234.0,0.3228,44.9167
Gieseking,118,46.3307,69.2138,236.0,0.3622,45.1333
Gieseking,119,-85.9985,124.2721,238.0,0.3622,45.2
Gieseking,120,-123.1107,-106.4009,240.0,0.3386,45.4167
Gieseking,121,-49.8161,132.0773,242.0,0.3937,45.7833
Gieseking,122,-151.7608,-85.8706,244.0,0.3465,46.0
Gieseking,123,58.8014,51.7277,246.0,0.3701,46.2667
Gieseking,124,-169.637,-55.563,248.0,0.3228,46.5833
Gieseking,125,20.4016,107.2417,250.0,0.3937,46.95
Gieseking,126,-128.9944,110.8649,252.0,0.3701,47.0167
Gieseking,127,-163.0287,-68.3703,254.0,0.3228,47.1333
Gieseking,128,48.2441,-67.2188,256.0,0.3465,47.3
